subject,relation,object,sentence
Maintenance,incidence of,viral tract infections,"Light skin pigmentation, lean body mass, and supplementation with vitamin D were found to correlate with higher concentrations of 25-hydroxyvitamin D. Concentrations of 38 ng/ml or more were associated with a significant (p<0.0001) two-fold reduction in the risk of developing acute respiratory tract infections and with a marked reduction in the percentages of days ill. CONCLUSIONS/SIGNIFICANCE: Maintenance of a 25-hydroxyvitamin D serum concentration of 38 ng/ml or higher should significantly reduce the incidence of acute viral respiratory tract infections and the burden of illness caused thereby, at least during the fall and winter in temperate zones."
Maintenance,burden of,illness,"Light skin pigmentation, lean body mass, and supplementation with vitamin D were found to correlate with higher concentrations of 25-hydroxyvitamin D. Concentrations of 38 ng/ml or more were associated with a significant (p<0.0001) two-fold reduction in the risk of developing acute respiratory tract infections and with a marked reduction in the percentages of days ill. CONCLUSIONS/SIGNIFICANCE: Maintenance of a 25-hydroxyvitamin D serum concentration of 38 ng/ml or higher should significantly reduce the incidence of acute viral respiratory tract infections and the burden of illness caused thereby, at least during the fall and winter in temperate zones."
Maintenance,incidence of,acute tract infections,"Light skin pigmentation, lean body mass, and supplementation with vitamin D were found to correlate with higher concentrations of 25-hydroxyvitamin D. Concentrations of 38 ng/ml or more were associated with a significant (p<0.0001) two-fold reduction in the risk of developing acute respiratory tract infections and with a marked reduction in the percentages of days ill. CONCLUSIONS/SIGNIFICANCE: Maintenance of a 25-hydroxyvitamin D serum concentration of 38 ng/ml or higher should significantly reduce the incidence of acute viral respiratory tract infections and the burden of illness caused thereby, at least during the fall and winter in temperate zones."
Maintenance,incidence of,acute respiratory tract infections,"Light skin pigmentation, lean body mass, and supplementation with vitamin D were found to correlate with higher concentrations of 25-hydroxyvitamin D. Concentrations of 38 ng/ml or more were associated with a significant (p<0.0001) two-fold reduction in the risk of developing acute respiratory tract infections and with a marked reduction in the percentages of days ill. CONCLUSIONS/SIGNIFICANCE: Maintenance of a 25-hydroxyvitamin D serum concentration of 38 ng/ml or higher should significantly reduce the incidence of acute viral respiratory tract infections and the burden of illness caused thereby, at least during the fall and winter in temperate zones."
Maintenance,caused during,fall in zones,"Light skin pigmentation, lean body mass, and supplementation with vitamin D were found to correlate with higher concentrations of 25-hydroxyvitamin D. Concentrations of 38 ng/ml or more were associated with a significant (p<0.0001) two-fold reduction in the risk of developing acute respiratory tract infections and with a marked reduction in the percentages of days ill. CONCLUSIONS/SIGNIFICANCE: Maintenance of a 25-hydroxyvitamin D serum concentration of 38 ng/ml or higher should significantly reduce the incidence of acute viral respiratory tract infections and the burden of illness caused thereby, at least during the fall and winter in temperate zones."
Maintenance,incidence of,viral respiratory tract infections,"Light skin pigmentation, lean body mass, and supplementation with vitamin D were found to correlate with higher concentrations of 25-hydroxyvitamin D. Concentrations of 38 ng/ml or more were associated with a significant (p<0.0001) two-fold reduction in the risk of developing acute respiratory tract infections and with a marked reduction in the percentages of days ill. CONCLUSIONS/SIGNIFICANCE: Maintenance of a 25-hydroxyvitamin D serum concentration of 38 ng/ml or higher should significantly reduce the incidence of acute viral respiratory tract infections and the burden of illness caused thereby, at least during the fall and winter in temperate zones."
burden,caused during,fall,"Light skin pigmentation, lean body mass, and supplementation with vitamin D were found to correlate with higher concentrations of 25-hydroxyvitamin D. Concentrations of 38 ng/ml or more were associated with a significant (p<0.0001) two-fold reduction in the risk of developing acute respiratory tract infections and with a marked reduction in the percentages of days ill. CONCLUSIONS/SIGNIFICANCE: Maintenance of a 25-hydroxyvitamin D serum concentration of 38 ng/ml or higher should significantly reduce the incidence of acute viral respiratory tract infections and the burden of illness caused thereby, at least during the fall and winter in temperate zones."
burden,incidence of,tract infections,"Light skin pigmentation, lean body mass, and supplementation with vitamin D were found to correlate with higher concentrations of 25-hydroxyvitamin D. Concentrations of 38 ng/ml or more were associated with a significant (p<0.0001) two-fold reduction in the risk of developing acute respiratory tract infections and with a marked reduction in the percentages of days ill. CONCLUSIONS/SIGNIFICANCE: Maintenance of a 25-hydroxyvitamin D serum concentration of 38 ng/ml or higher should significantly reduce the incidence of acute viral respiratory tract infections and the burden of illness caused thereby, at least during the fall and winter in temperate zones."
Maintenance,incidence of,respiratory tract infections,"Light skin pigmentation, lean body mass, and supplementation with vitamin D were found to correlate with higher concentrations of 25-hydroxyvitamin D. Concentrations of 38 ng/ml or more were associated with a significant (p<0.0001) two-fold reduction in the risk of developing acute respiratory tract infections and with a marked reduction in the percentages of days ill. CONCLUSIONS/SIGNIFICANCE: Maintenance of a 25-hydroxyvitamin D serum concentration of 38 ng/ml or higher should significantly reduce the incidence of acute viral respiratory tract infections and the burden of illness caused thereby, at least during the fall and winter in temperate zones."
Maintenance,caused during,fall in temperate zones,"Light skin pigmentation, lean body mass, and supplementation with vitamin D were found to correlate with higher concentrations of 25-hydroxyvitamin D. Concentrations of 38 ng/ml or more were associated with a significant (p<0.0001) two-fold reduction in the risk of developing acute respiratory tract infections and with a marked reduction in the percentages of days ill. CONCLUSIONS/SIGNIFICANCE: Maintenance of a 25-hydroxyvitamin D serum concentration of 38 ng/ml or higher should significantly reduce the incidence of acute viral respiratory tract infections and the burden of illness caused thereby, at least during the fall and winter in temperate zones."
burden,caused thereby during,fall in temperate zones,"Light skin pigmentation, lean body mass, and supplementation with vitamin D were found to correlate with higher concentrations of 25-hydroxyvitamin D. Concentrations of 38 ng/ml or more were associated with a significant (p<0.0001) two-fold reduction in the risk of developing acute respiratory tract infections and with a marked reduction in the percentages of days ill. CONCLUSIONS/SIGNIFICANCE: Maintenance of a 25-hydroxyvitamin D serum concentration of 38 ng/ml or higher should significantly reduce the incidence of acute viral respiratory tract infections and the burden of illness caused thereby, at least during the fall and winter in temperate zones."
burden,caused during,fall in zones,"Light skin pigmentation, lean body mass, and supplementation with vitamin D were found to correlate with higher concentrations of 25-hydroxyvitamin D. Concentrations of 38 ng/ml or more were associated with a significant (p<0.0001) two-fold reduction in the risk of developing acute respiratory tract infections and with a marked reduction in the percentages of days ill. CONCLUSIONS/SIGNIFICANCE: Maintenance of a 25-hydroxyvitamin D serum concentration of 38 ng/ml or higher should significantly reduce the incidence of acute viral respiratory tract infections and the burden of illness caused thereby, at least during the fall and winter in temperate zones."
Maintenance,incidence of,acute viral tract infections,"Light skin pigmentation, lean body mass, and supplementation with vitamin D were found to correlate with higher concentrations of 25-hydroxyvitamin D. Concentrations of 38 ng/ml or more were associated with a significant (p<0.0001) two-fold reduction in the risk of developing acute respiratory tract infections and with a marked reduction in the percentages of days ill. CONCLUSIONS/SIGNIFICANCE: Maintenance of a 25-hydroxyvitamin D serum concentration of 38 ng/ml or higher should significantly reduce the incidence of acute viral respiratory tract infections and the burden of illness caused thereby, at least during the fall and winter in temperate zones."
burden,caused thereby during,fall in zones,"Light skin pigmentation, lean body mass, and supplementation with vitamin D were found to correlate with higher concentrations of 25-hydroxyvitamin D. Concentrations of 38 ng/ml or more were associated with a significant (p<0.0001) two-fold reduction in the risk of developing acute respiratory tract infections and with a marked reduction in the percentages of days ill. CONCLUSIONS/SIGNIFICANCE: Maintenance of a 25-hydroxyvitamin D serum concentration of 38 ng/ml or higher should significantly reduce the incidence of acute viral respiratory tract infections and the burden of illness caused thereby, at least during the fall and winter in temperate zones."
Maintenance,incidence of,acute viral respiratory tract infections,"Light skin pigmentation, lean body mass, and supplementation with vitamin D were found to correlate with higher concentrations of 25-hydroxyvitamin D. Concentrations of 38 ng/ml or more were associated with a significant (p<0.0001) two-fold reduction in the risk of developing acute respiratory tract infections and with a marked reduction in the percentages of days ill. CONCLUSIONS/SIGNIFICANCE: Maintenance of a 25-hydroxyvitamin D serum concentration of 38 ng/ml or higher should significantly reduce the incidence of acute viral respiratory tract infections and the burden of illness caused thereby, at least during the fall and winter in temperate zones."
Maintenance,caused thereby during,fall in temperate zones,"Light skin pigmentation, lean body mass, and supplementation with vitamin D were found to correlate with higher concentrations of 25-hydroxyvitamin D. Concentrations of 38 ng/ml or more were associated with a significant (p<0.0001) two-fold reduction in the risk of developing acute respiratory tract infections and with a marked reduction in the percentages of days ill. CONCLUSIONS/SIGNIFICANCE: Maintenance of a 25-hydroxyvitamin D serum concentration of 38 ng/ml or higher should significantly reduce the incidence of acute viral respiratory tract infections and the burden of illness caused thereby, at least during the fall and winter in temperate zones."
burden,incidence of,acute tract infections,"Light skin pigmentation, lean body mass, and supplementation with vitamin D were found to correlate with higher concentrations of 25-hydroxyvitamin D. Concentrations of 38 ng/ml or more were associated with a significant (p<0.0001) two-fold reduction in the risk of developing acute respiratory tract infections and with a marked reduction in the percentages of days ill. CONCLUSIONS/SIGNIFICANCE: Maintenance of a 25-hydroxyvitamin D serum concentration of 38 ng/ml or higher should significantly reduce the incidence of acute viral respiratory tract infections and the burden of illness caused thereby, at least during the fall and winter in temperate zones."
burden,caused thereby during,fall,"Light skin pigmentation, lean body mass, and supplementation with vitamin D were found to correlate with higher concentrations of 25-hydroxyvitamin D. Concentrations of 38 ng/ml or more were associated with a significant (p<0.0001) two-fold reduction in the risk of developing acute respiratory tract infections and with a marked reduction in the percentages of days ill. CONCLUSIONS/SIGNIFICANCE: Maintenance of a 25-hydroxyvitamin D serum concentration of 38 ng/ml or higher should significantly reduce the incidence of acute viral respiratory tract infections and the burden of illness caused thereby, at least during the fall and winter in temperate zones."
Maintenance,caused thereby during,fall in zones,"Light skin pigmentation, lean body mass, and supplementation with vitamin D were found to correlate with higher concentrations of 25-hydroxyvitamin D. Concentrations of 38 ng/ml or more were associated with a significant (p<0.0001) two-fold reduction in the risk of developing acute respiratory tract infections and with a marked reduction in the percentages of days ill. CONCLUSIONS/SIGNIFICANCE: Maintenance of a 25-hydroxyvitamin D serum concentration of 38 ng/ml or higher should significantly reduce the incidence of acute viral respiratory tract infections and the burden of illness caused thereby, at least during the fall and winter in temperate zones."
burden,incidence of,viral tract infections,"Light skin pigmentation, lean body mass, and supplementation with vitamin D were found to correlate with higher concentrations of 25-hydroxyvitamin D. Concentrations of 38 ng/ml or more were associated with a significant (p<0.0001) two-fold reduction in the risk of developing acute respiratory tract infections and with a marked reduction in the percentages of days ill. CONCLUSIONS/SIGNIFICANCE: Maintenance of a 25-hydroxyvitamin D serum concentration of 38 ng/ml or higher should significantly reduce the incidence of acute viral respiratory tract infections and the burden of illness caused thereby, at least during the fall and winter in temperate zones."
Maintenance,incidence of,tract infections,"Light skin pigmentation, lean body mass, and supplementation with vitamin D were found to correlate with higher concentrations of 25-hydroxyvitamin D. Concentrations of 38 ng/ml or more were associated with a significant (p<0.0001) two-fold reduction in the risk of developing acute respiratory tract infections and with a marked reduction in the percentages of days ill. CONCLUSIONS/SIGNIFICANCE: Maintenance of a 25-hydroxyvitamin D serum concentration of 38 ng/ml or higher should significantly reduce the incidence of acute viral respiratory tract infections and the burden of illness caused thereby, at least during the fall and winter in temperate zones."
burden,incidence of,viral respiratory tract infections,"Light skin pigmentation, lean body mass, and supplementation with vitamin D were found to correlate with higher concentrations of 25-hydroxyvitamin D. Concentrations of 38 ng/ml or more were associated with a significant (p<0.0001) two-fold reduction in the risk of developing acute respiratory tract infections and with a marked reduction in the percentages of days ill. CONCLUSIONS/SIGNIFICANCE: Maintenance of a 25-hydroxyvitamin D serum concentration of 38 ng/ml or higher should significantly reduce the incidence of acute viral respiratory tract infections and the burden of illness caused thereby, at least during the fall and winter in temperate zones."
burden,incidence of,acute respiratory tract infections,"Light skin pigmentation, lean body mass, and supplementation with vitamin D were found to correlate with higher concentrations of 25-hydroxyvitamin D. Concentrations of 38 ng/ml or more were associated with a significant (p<0.0001) two-fold reduction in the risk of developing acute respiratory tract infections and with a marked reduction in the percentages of days ill. CONCLUSIONS/SIGNIFICANCE: Maintenance of a 25-hydroxyvitamin D serum concentration of 38 ng/ml or higher should significantly reduce the incidence of acute viral respiratory tract infections and the burden of illness caused thereby, at least during the fall and winter in temperate zones."
Maintenance,caused during,fall,"Light skin pigmentation, lean body mass, and supplementation with vitamin D were found to correlate with higher concentrations of 25-hydroxyvitamin D. Concentrations of 38 ng/ml or more were associated with a significant (p<0.0001) two-fold reduction in the risk of developing acute respiratory tract infections and with a marked reduction in the percentages of days ill. CONCLUSIONS/SIGNIFICANCE: Maintenance of a 25-hydroxyvitamin D serum concentration of 38 ng/ml or higher should significantly reduce the incidence of acute viral respiratory tract infections and the burden of illness caused thereby, at least during the fall and winter in temperate zones."
burden,caused during,fall in temperate zones,"Light skin pigmentation, lean body mass, and supplementation with vitamin D were found to correlate with higher concentrations of 25-hydroxyvitamin D. Concentrations of 38 ng/ml or more were associated with a significant (p<0.0001) two-fold reduction in the risk of developing acute respiratory tract infections and with a marked reduction in the percentages of days ill. CONCLUSIONS/SIGNIFICANCE: Maintenance of a 25-hydroxyvitamin D serum concentration of 38 ng/ml or higher should significantly reduce the incidence of acute viral respiratory tract infections and the burden of illness caused thereby, at least during the fall and winter in temperate zones."
fall,is in,temperate zones,"Light skin pigmentation, lean body mass, and supplementation with vitamin D were found to correlate with higher concentrations of 25-hydroxyvitamin D. Concentrations of 38 ng/ml or more were associated with a significant (p<0.0001) two-fold reduction in the risk of developing acute respiratory tract infections and with a marked reduction in the percentages of days ill. CONCLUSIONS/SIGNIFICANCE: Maintenance of a 25-hydroxyvitamin D serum concentration of 38 ng/ml or higher should significantly reduce the incidence of acute viral respiratory tract infections and the burden of illness caused thereby, at least during the fall and winter in temperate zones."
burden,incidence of,respiratory tract infections,"Light skin pigmentation, lean body mass, and supplementation with vitamin D were found to correlate with higher concentrations of 25-hydroxyvitamin D. Concentrations of 38 ng/ml or more were associated with a significant (p<0.0001) two-fold reduction in the risk of developing acute respiratory tract infections and with a marked reduction in the percentages of days ill. CONCLUSIONS/SIGNIFICANCE: Maintenance of a 25-hydroxyvitamin D serum concentration of 38 ng/ml or higher should significantly reduce the incidence of acute viral respiratory tract infections and the burden of illness caused thereby, at least during the fall and winter in temperate zones."
burden,incidence of,acute viral respiratory tract infections,"Light skin pigmentation, lean body mass, and supplementation with vitamin D were found to correlate with higher concentrations of 25-hydroxyvitamin D. Concentrations of 38 ng/ml or more were associated with a significant (p<0.0001) two-fold reduction in the risk of developing acute respiratory tract infections and with a marked reduction in the percentages of days ill. CONCLUSIONS/SIGNIFICANCE: Maintenance of a 25-hydroxyvitamin D serum concentration of 38 ng/ml or higher should significantly reduce the incidence of acute viral respiratory tract infections and the burden of illness caused thereby, at least during the fall and winter in temperate zones."
severity,incidence of,infections including influenza in subpopulations,"The findings of the present study provide direction for and call for future interventional studies examining the efficacy of vitamin D supplementation in reducing the incidence and severity of specific viral infections, including influenza, in the general population and in subpopulations with lower 25-hydroxyvitamin D concentrations, such as pregnant women, dark skinned individuals, and the obese."
infections,is in,subpopulations with lower 25-hydroxyvitamin D concentrations such pregnant women,"The findings of the present study provide direction for and call for future interventional studies examining the efficacy of vitamin D supplementation in reducing the incidence and severity of specific viral infections, including influenza, in the general population and in subpopulations with lower 25-hydroxyvitamin D concentrations, such as pregnant women, dark skinned individuals, and the obese."
severity,incidence of,infections including influenza in population in subpopulations with 25-hydroxyvitamin D concentrations,"The findings of the present study provide direction for and call for future interventional studies examining the efficacy of vitamin D supplementation in reducing the incidence and severity of specific viral infections, including influenza, in the general population and in subpopulations with lower 25-hydroxyvitamin D concentrations, such as pregnant women, dark skinned individuals, and the obese."
severity,incidence of,infections including influenza in general population in subpopulations with 25-hydroxyvitamin D concentrations,"The findings of the present study provide direction for and call for future interventional studies examining the efficacy of vitamin D supplementation in reducing the incidence and severity of specific viral infections, including influenza, in the general population and in subpopulations with lower 25-hydroxyvitamin D concentrations, such as pregnant women, dark skinned individuals, and the obese."
severity,incidence of,infections in general population in subpopulations with lower 25-hydroxyvitamin D concentrations,"The findings of the present study provide direction for and call for future interventional studies examining the efficacy of vitamin D supplementation in reducing the incidence and severity of specific viral infections, including influenza, in the general population and in subpopulations with lower 25-hydroxyvitamin D concentrations, such as pregnant women, dark skinned individuals, and the obese."
severity,incidence of,infections in population in subpopulations,"The findings of the present study provide direction for and call for future interventional studies examining the efficacy of vitamin D supplementation in reducing the incidence and severity of specific viral infections, including influenza, in the general population and in subpopulations with lower 25-hydroxyvitamin D concentrations, such as pregnant women, dark skinned individuals, and the obese."
severity,incidence of,infections in general population,"The findings of the present study provide direction for and call for future interventional studies examining the efficacy of vitamin D supplementation in reducing the incidence and severity of specific viral infections, including influenza, in the general population and in subpopulations with lower 25-hydroxyvitamin D concentrations, such as pregnant women, dark skinned individuals, and the obese."
severity,incidence of,infections including influenza in population in subpopulations,"The findings of the present study provide direction for and call for future interventional studies examining the efficacy of vitamin D supplementation in reducing the incidence and severity of specific viral infections, including influenza, in the general population and in subpopulations with lower 25-hydroxyvitamin D concentrations, such as pregnant women, dark skinned individuals, and the obese."
severity,incidence of,infections in population in subpopulations with 25-hydroxyvitamin D concentrations,"The findings of the present study provide direction for and call for future interventional studies examining the efficacy of vitamin D supplementation in reducing the incidence and severity of specific viral infections, including influenza, in the general population and in subpopulations with lower 25-hydroxyvitamin D concentrations, such as pregnant women, dark skinned individuals, and the obese."
severity,incidence of,infections in population in subpopulations with lower 25-hydroxyvitamin D concentrations,"The findings of the present study provide direction for and call for future interventional studies examining the efficacy of vitamin D supplementation in reducing the incidence and severity of specific viral infections, including influenza, in the general population and in subpopulations with lower 25-hydroxyvitamin D concentrations, such as pregnant women, dark skinned individuals, and the obese."
infections,is in,general population,"The findings of the present study provide direction for and call for future interventional studies examining the efficacy of vitamin D supplementation in reducing the incidence and severity of specific viral infections, including influenza, in the general population and in subpopulations with lower 25-hydroxyvitamin D concentrations, such as pregnant women, dark skinned individuals, and the obese."
severity,incidence of,infections in general population in subpopulations,"The findings of the present study provide direction for and call for future interventional studies examining the efficacy of vitamin D supplementation in reducing the incidence and severity of specific viral infections, including influenza, in the general population and in subpopulations with lower 25-hydroxyvitamin D concentrations, such as pregnant women, dark skinned individuals, and the obese."
findings,provide,direction for,"The findings of the present study provide direction for and call for future interventional studies examining the efficacy of vitamin D supplementation in reducing the incidence and severity of specific viral infections, including influenza, in the general population and in subpopulations with lower 25-hydroxyvitamin D concentrations, such as pregnant women, dark skinned individuals, and the obese."
severity,incidence of,infections in subpopulations with lower 25-hydroxyvitamin D concentrations,"The findings of the present study provide direction for and call for future interventional studies examining the efficacy of vitamin D supplementation in reducing the incidence and severity of specific viral infections, including influenza, in the general population and in subpopulations with lower 25-hydroxyvitamin D concentrations, such as pregnant women, dark skinned individuals, and the obese."
severity,incidence of,infections in subpopulations,"The findings of the present study provide direction for and call for future interventional studies examining the efficacy of vitamin D supplementation in reducing the incidence and severity of specific viral infections, including influenza, in the general population and in subpopulations with lower 25-hydroxyvitamin D concentrations, such as pregnant women, dark skinned individuals, and the obese."
severity,incidence of,infections in population,"The findings of the present study provide direction for and call for future interventional studies examining the efficacy of vitamin D supplementation in reducing the incidence and severity of specific viral infections, including influenza, in the general population and in subpopulations with lower 25-hydroxyvitamin D concentrations, such as pregnant women, dark skinned individuals, and the obese."
severity,incidence of,infections including influenza in subpopulations with lower 25-hydroxyvitamin D concentrations,"The findings of the present study provide direction for and call for future interventional studies examining the efficacy of vitamin D supplementation in reducing the incidence and severity of specific viral infections, including influenza, in the general population and in subpopulations with lower 25-hydroxyvitamin D concentrations, such as pregnant women, dark skinned individuals, and the obese."
severity,incidence of,infections including influenza in general population,"The findings of the present study provide direction for and call for future interventional studies examining the efficacy of vitamin D supplementation in reducing the incidence and severity of specific viral infections, including influenza, in the general population and in subpopulations with lower 25-hydroxyvitamin D concentrations, such as pregnant women, dark skinned individuals, and the obese."
severity,incidence of,infections including influenza in general population in subpopulations,"The findings of the present study provide direction for and call for future interventional studies examining the efficacy of vitamin D supplementation in reducing the incidence and severity of specific viral infections, including influenza, in the general population and in subpopulations with lower 25-hydroxyvitamin D concentrations, such as pregnant women, dark skinned individuals, and the obese."
severity,incidence of,infections including influenza in general population in subpopulations with lower 25-hydroxyvitamin D concentrations,"The findings of the present study provide direction for and call for future interventional studies examining the efficacy of vitamin D supplementation in reducing the incidence and severity of specific viral infections, including influenza, in the general population and in subpopulations with lower 25-hydroxyvitamin D concentrations, such as pregnant women, dark skinned individuals, and the obese."
findings,call for,future studies,"The findings of the present study provide direction for and call for future interventional studies examining the efficacy of vitamin D supplementation in reducing the incidence and severity of specific viral infections, including influenza, in the general population and in subpopulations with lower 25-hydroxyvitamin D concentrations, such as pregnant women, dark skinned individuals, and the obese."
severity,incidence of,infections including influenza in subpopulations with 25-hydroxyvitamin D concentrations,"The findings of the present study provide direction for and call for future interventional studies examining the efficacy of vitamin D supplementation in reducing the incidence and severity of specific viral infections, including influenza, in the general population and in subpopulations with lower 25-hydroxyvitamin D concentrations, such as pregnant women, dark skinned individuals, and the obese."
severity,incidence of,infections in general population in subpopulations with 25-hydroxyvitamin D concentrations,"The findings of the present study provide direction for and call for future interventional studies examining the efficacy of vitamin D supplementation in reducing the incidence and severity of specific viral infections, including influenza, in the general population and in subpopulations with lower 25-hydroxyvitamin D concentrations, such as pregnant women, dark skinned individuals, and the obese."
severity,incidence of,infections including influenza,"The findings of the present study provide direction for and call for future interventional studies examining the efficacy of vitamin D supplementation in reducing the incidence and severity of specific viral infections, including influenza, in the general population and in subpopulations with lower 25-hydroxyvitamin D concentrations, such as pregnant women, dark skinned individuals, and the obese."
severity,incidence of,infections including influenza in population in subpopulations with lower 25-hydroxyvitamin D concentrations,"The findings of the present study provide direction for and call for future interventional studies examining the efficacy of vitamin D supplementation in reducing the incidence and severity of specific viral infections, including influenza, in the general population and in subpopulations with lower 25-hydroxyvitamin D concentrations, such as pregnant women, dark skinned individuals, and the obese."
severity,incidence of,infections,"The findings of the present study provide direction for and call for future interventional studies examining the efficacy of vitamin D supplementation in reducing the incidence and severity of specific viral infections, including influenza, in the general population and in subpopulations with lower 25-hydroxyvitamin D concentrations, such as pregnant women, dark skinned individuals, and the obese."
findings,provide,direction,"The findings of the present study provide direction for and call for future interventional studies examining the efficacy of vitamin D supplementation in reducing the incidence and severity of specific viral infections, including influenza, in the general population and in subpopulations with lower 25-hydroxyvitamin D concentrations, such as pregnant women, dark skinned individuals, and the obese."
severity,incidence of,infections including influenza in population,"The findings of the present study provide direction for and call for future interventional studies examining the efficacy of vitamin D supplementation in reducing the incidence and severity of specific viral infections, including influenza, in the general population and in subpopulations with lower 25-hydroxyvitamin D concentrations, such as pregnant women, dark skinned individuals, and the obese."
severity,incidence of,infections in subpopulations with 25-hydroxyvitamin D concentrations,"The findings of the present study provide direction for and call for future interventional studies examining the efficacy of vitamin D supplementation in reducing the incidence and severity of specific viral infections, including influenza, in the general population and in subpopulations with lower 25-hydroxyvitamin D concentrations, such as pregnant women, dark skinned individuals, and the obese."
subpopulations,is with,lower 25-hydroxyvitamin D concentrations such pregnant women,"The findings of the present study provide direction for and call for future interventional studies examining the efficacy of vitamin D supplementation in reducing the incidence and severity of specific viral infections, including influenza, in the general population and in subpopulations with lower 25-hydroxyvitamin D concentrations, such as pregnant women, dark skinned individuals, and the obese."
hope,was,significant,"Baseline hope was a significant predictor of a resilience outcome trajectory for depression (B = -0.24, p < 0.01 for depression); and anxiety (B = -0.11, p = 0.05 for anxiety)."
p,=,0.05,"Baseline hope was a significant predictor of a resilience outcome trajectory for depression (B = -0.24, p < 0.01 for depression); and anxiety (B = -0.11, p = 0.05 for anxiety)."
Baseline hope,was,predictor,"Baseline hope was a significant predictor of a resilience outcome trajectory for depression (B = -0.24, p < 0.01 for depression); and anxiety (B = -0.11, p = 0.05 for anxiety)."
Baseline hope,was predictor of,resilience outcome trajectory for depression,"Baseline hope was a significant predictor of a resilience outcome trajectory for depression (B = -0.24, p < 0.01 for depression); and anxiety (B = -0.11, p = 0.05 for anxiety)."
Baseline hope,was significant predictor of,resilience outcome trajectory for depression,"Baseline hope was a significant predictor of a resilience outcome trajectory for depression (B = -0.24, p < 0.01 for depression); and anxiety (B = -0.11, p = 0.05 for anxiety)."
Baseline hope,was,significant predictor,"Baseline hope was a significant predictor of a resilience outcome trajectory for depression (B = -0.24, p < 0.01 for depression); and anxiety (B = -0.11, p = 0.05 for anxiety)."
Baseline hope,was predictor of,resilience outcome trajectory,"Baseline hope was a significant predictor of a resilience outcome trajectory for depression (B = -0.24, p < 0.01 for depression); and anxiety (B = -0.11, p = 0.05 for anxiety)."
Baseline hope,was significant predictor of,resilience outcome trajectory,"Baseline hope was a significant predictor of a resilience outcome trajectory for depression (B = -0.24, p < 0.01 for depression); and anxiety (B = -0.11, p = 0.05 for anxiety)."
plants DNA,especially exploring,aspiration pneumonia,"CONCLUSIONS/SIGNIFICANCE: Our study shows that plants DNA may be identified in the BAL fluid of pneumonia patients, especially when exploring aspiration pneumonia, but the significance of the presence of plant DNA and its role in the pathogenesis of pneumonia is unknown and remains to be investigated."
plants DNA,exploring,aspiration pneumonia,"CONCLUSIONS/SIGNIFICANCE: Our study shows that plants DNA may be identified in the BAL fluid of pneumonia patients, especially when exploring aspiration pneumonia, but the significance of the presence of plant DNA and its role in the pathogenesis of pneumonia is unknown and remains to be investigated."
rIDE,increasing,stability,The ability of rIDE to enhance infectivity of cell-free VZV over a wide range of incubation times and temperatures suggests that rIDE may be useful for increasing the stability of varicella or zoster vaccines.
rIDE,be,useful,The ability of rIDE to enhance infectivity of cell-free VZV over a wide range of incubation times and temperatures suggests that rIDE may be useful for increasing the stability of varicella or zoster vaccines.
rIDE,increasing,stability of varicella,The ability of rIDE to enhance infectivity of cell-free VZV over a wide range of incubation times and temperatures suggests that rIDE may be useful for increasing the stability of varicella or zoster vaccines.
analyse,systematically relationship between,gene expression profiles,"Here we report on the first genome-wide host transcriptional responses to classical North American type PRRSV (N-PRRSV) strain CH 1a infection using Solexa/Illumina's digital gene expression (DGE) system, a tag-based high-throughput transcriptome sequencing method, and analyse systematically the relationship between pulmonary gene expression profiles after N-PRRSV infection and infection pathology."
Solexa/Illumina,has,digital gene expression,"Here we report on the first genome-wide host transcriptional responses to classical North American type PRRSV (N-PRRSV) strain CH 1a infection using Solexa/Illumina's digital gene expression (DGE) system, a tag-based high-throughput transcriptome sequencing method, and analyse systematically the relationship between pulmonary gene expression profiles after N-PRRSV infection and infection pathology."
analyse,relationship after,N-PRRSV infection,"Here we report on the first genome-wide host transcriptional responses to classical North American type PRRSV (N-PRRSV) strain CH 1a infection using Solexa/Illumina's digital gene expression (DGE) system, a tag-based high-throughput transcriptome sequencing method, and analyse systematically the relationship between pulmonary gene expression profiles after N-PRRSV infection and infection pathology."
analyse,relationship between,gene expression profiles,"Here we report on the first genome-wide host transcriptional responses to classical North American type PRRSV (N-PRRSV) strain CH 1a infection using Solexa/Illumina's digital gene expression (DGE) system, a tag-based high-throughput transcriptome sequencing method, and analyse systematically the relationship between pulmonary gene expression profiles after N-PRRSV infection and infection pathology."
analyse,systematically relationship after,N-PRRSV infection,"Here we report on the first genome-wide host transcriptional responses to classical North American type PRRSV (N-PRRSV) strain CH 1a infection using Solexa/Illumina's digital gene expression (DGE) system, a tag-based high-throughput transcriptome sequencing method, and analyse systematically the relationship between pulmonary gene expression profiles after N-PRRSV infection and infection pathology."
Solexa/Illumina,'s expression is,DGE,"Here we report on the first genome-wide host transcriptional responses to classical North American type PRRSV (N-PRRSV) strain CH 1a infection using Solexa/Illumina's digital gene expression (DGE) system, a tag-based high-throughput transcriptome sequencing method, and analyse systematically the relationship between pulmonary gene expression profiles after N-PRRSV infection and infection pathology."
analyse,systematically relationship between,pulmonary gene expression profiles,"Here we report on the first genome-wide host transcriptional responses to classical North American type PRRSV (N-PRRSV) strain CH 1a infection using Solexa/Illumina's digital gene expression (DGE) system, a tag-based high-throughput transcriptome sequencing method, and analyse systematically the relationship between pulmonary gene expression profiles after N-PRRSV infection and infection pathology."
